school,lat,lon
"Universidade de São Paulo, Brazil",-22.0000515,-47.93125916
"University of Limerick, Ireland",52.67974472,-8.57145119
"Korea University, South Korea",37.58800507,127.03640747
"Ecole Centrale de Nantes, France",47.24908066,-1.54831004
"Technische Universität München, Germany",48.14954758,11.56776524
"Western Michigan University, United States",42.28295135,-85.61138153
"Sharif University of Technology, Iran",32.6475296,54.56435013
"Universität Zürich, Switzerland",47.37472153,8.54833031
"Lebedev Institute of Physics, Russia",61.66702652,99.09856415
"Moscow Institute of Physics and Technology, Russia",61.66702652,99.09856415
"Université de Nantes, France",47.24000168,-1.54999995
"Université de Technologie de Compiègne, France",49.41500854,2.8177731
"Indian Institute of Technology Gandhinagar, India",23.22334671,72.64770508
"Victoria University of Wellington, New Zealand",-41.28430557,174.77027893
"Università degli Studi di Firenze, Italy",43.77773285,11.26099205
"University of West Bohemia, Pilsen, Czech Republic",29.71598053,-95.42884064
"Middle East Technical University, Turkey",39.88980103,32.78010178
"Florida State University, United States",30.44245338,-84.29992676
"Universität der Bundeswehr Hamburg, Germany",53.56777954,10.1072197
"McGill University, Canada",45.50649643,-73.5798645
"Moscow State University of Civil Engineering, Russia",55.70284653,37.53059387
"Polytechnic Institute of New York University, United States",40.73889542,-73.97800446
"Brown University, United States",41.82819366,-71.39990234
"Scuola Internazionale Superiore di Studi Avanzati (SISSA), Italy",44.96033478,10.26174068
"Universidad del País Vasco, Spain",43.33140564,-2.97060585
"University of Oxford, United Kingdom",51.76114655,-1.25338602
"Indian Institute of Science, Bangalore, India",12.97674656,77.57527924
"Universität Straßburg, Germany",49.55243301,8.84981728
"University of Monastir, Tunisia",35.77075958,10.82805157
"Macquarie University, Australia",-33.77458954,151.11288452
"Uniwersytet Marii Curie-Skłodowskiej, Poland",51.24555969,22.54055977
"Université Paul Valéry Montpellier 3, France",46.62480927,2.45837402
"Nagoya University, Japan",35.15472031,136.9669342
"Universität Ulm, Germany",48.4250412,9.96333027
"Tarbiat Modares University, Iran",35.72111511,51.3816185
"University of Utah, United States",40.76153183,-111.83558655
"University of California, Los Angeles, United States",33.9970932,-117.83753967
"Université de Montpellier, France",43.59859467,3.89217401
"Oxford Brookes University, United Kingdom",51.75487137,-1.22427547
"University of Leeds, United Kingdom",53.80628967,-1.55621433
"Oklahoma State University, United States",36.1275444,-97.07408905
"Concordia University, Canada",45.49694061,-73.57805634
"University of Pennsylvania, United States",39.951931,-75.19461823
"Universitat Politècnica de Catalunya, Catalonia",41.3878746,2.11465192
"Swansea University, United Kingdom",51.60929108,-3.97966409
"National Tsing Hua University, Taiwan",24.79457092,120.99420929
"Universität Basel, Switzerland",47.55910873,7.5835371
"Calcutta University, India",22.57647514,88.36180878
"Korea Advanced Institute of Science and Technology (KAIST), South Korea",36.37200165,127.36299896
"Rice University, United States",29.71723175,-95.40277863
"Instytut Podstawowych Problemów Techniki PAN, Poland",52.12467194,19.40042686
"University of Sussex, United Kingdom",50.86527634,-0.08555555
"The Open University, United Kingdom",52.0245285,-0.70932323
"Otto-von-Guericke-Universität Magdeburg, Germany",52.13999939,11.64299965
"Universiteit Utrecht, Netherlands",52.08597565,5.17484617
"Charles University, Czech Republic",50.08840179,14.40369987
"Université Saint-Joseph de Beyrouth, Lebanon",33.89126968,35.50880814
"Huazhong University of Science and Technology, China",36.55937195,103.7533493
"University of Georgia, United States",31.57870674,-84.15026855
"Université de Rennes 1, France",48.11556244,-1.63702893
"Institute for System Programming of the Russian Academy of Sciences, Russia",61.66702652,99.09856415
"Czech Technical University in Prague, Czech Republic",50.10167694,14.38971043
"University of Bath, United Kingdom",51.37783432,-2.32540011
"Universitat Autònoma de Barcelona, Catalonia",41.50213242,2.10281491
"Rutgers University, New Brunswick, United States",40.48786926,-74.43978882
"Atatürk Üniversitesi, Turkey",39.9029007,41.25283813
"Lund University, Sweden",55.70293045,13.19294453
"University of Sarajevo, Bosnia Herzegovina",43.85818481,18.41234207
"University of Lethbridge, Canada",49.67614746,-112.86553192
"Université de Lyon, France",45.74814987,4.85235214
"University of Toronto, Canada",43.66167068,-79.39499664
"École Polytechnique Fédérale de Lausanne, Switzerland",46.51909256,6.56671047
"Brandeis University, United States",42.36603546,-71.25879669
"Erasmus Universiteit Rotterdam, Netherlands",51.91727829,4.52602386
"Landbouwuniversiteit Wageningen, Netherlands",51.96643448,5.65831041
"Université Paris IV-Sorbonne, France",48.84828949,2.34287238
"Universitat de Barcelona, Catalonia",41.38586044,2.16435742
"University of Waterloo, Canada",43.4703331,-80.54592133
"The University of Chicago, United States",41.8832283,-87.63240051
"Georg-August-Universität Göttingen, Germany",51.54383087,9.94176483
"Universität Berlin, Germany",52.52342987,13.41143608
"Kyoto University, Japan",35.0232048,135.78443909
"Lanzhou University, China",36.04998016,103.85655975
"University of British Columbia, Canada",49.25802612,-123.24305725
"Philipps-Universität Marburg, Germany",50.81082916,8.77361012
"Ben-Gurion University of the Negev, Israel",30.5,34.91666794
"Poznań University of Technology, Poland",52.40832901,16.93361092
"Shanghai Jiao Tong University, China",31.02544022,121.43630219
"Università del Salento, Italy",40.35805893,18.16472054
"Texas Tech University, United States",33.59065628,-101.8899231
"University of Newcastle upon Tyne, United Kingdom",54.9807174,-1.6141609
"Universiteit Stellenbosch, South Africa",-33.93243027,18.86763763
"Universität Bern, Switzerland",46.95051956,7.43810892
"Université de Mons, Belgium",50.45911407,3.95019102
"Université Nazi Boni, Burkina Faso",11.20943832,-4.41748428
"Universidad Nacional de La Plata, Argentina",-34.91296768,-57.95135498
"University of Hong Kong, HongKong",22.28417015,114.13777924
"Radboud Universiteit Nijmegen, Netherlands",51.8192482,5.86179781
"Georgia Institute of Technology, United States",32.64828873,-83.44437408
"Universidad Autónoma de Barcelona, Spain",41.50083542,2.10487604
"China University of Mining and Technology, China",31.31082916,120.63555908
"Northwestern University, United States",42.05439377,-87.69577789
"Pontificia Universidad Católica de Chile, Chile",-33.44179916,-70.64041138
"Technische Universität Graz, Austria",47.06915665,15.45024967
"University of the Basque Country, Spain",43.04308701,-2.61698508
"University of Massachusetts Amherst, United States",42.38521194,-72.52532196
"University of Rhode Island, United States",41.6282959,-71.51880646
"Aalto-yliopisto, Finland",60.18643951,24.82733917
"Martin-Luther-Universität Halle-Wittenberg, Germany",51.48625565,11.96957874
"Centro de Investigación en Matemáticas, CIMAT, Mexico",21.04223442,-101.26084137
"Drexel University, United States",39.95612335,-75.18766022
"Colorado State University, United States",40.57263565,-105.0865097
"University of Windsor, Canada",42.30358124,-83.064888
"University of York, United Kingdom",53.94727707,-1.0463835
"Nanyang Technological University, Singapore",1.34791696,103.68371582
"University of Tennessee - Knoxville, United States",35.95282364,-83.94454193
"Wright State University, United States",39.78499985,-84.05899811
"Monash University, Australia",-37.87680054,145.04402161
"University of Minnesota - Twin Cities, United States",44.95000076,-93.19999695
"Iran University of Science and Technology, Iran",32.6475296,54.56435013
"University of Nottingham, United Kingdom",52.93941116,-1.19878376
"Universidade Federal do Ceará, Brazil",-3.78331995,-38.58890152
"Royal Melbourne Institute of Technology, Australia",-25.72804832,134.49017334
"Umeå University, Sweden",63.8207283,20.30728722
"University of Newcastle, Australia",-32.89233398,151.70361328
"École Centrale de Lille, France",50.6060791,3.13721061
"Pädagogische Hochschule Freiburg, Germany",47.9813652,7.89381886
"Jadavpur University, India",22.4994278,88.37162018
"Indian Institute of Technology, Kharagpur, India",22.33023834,87.32365417
"Northeastern University, United States",42.33895874,-71.0887146
"Justus-Liebig-Universität Gießen, Germany",50.57678223,8.66331863
"Università di Genova, Italy",44.41500092,8.92580032
"Université Aix-Marseille, France",43.29352188,5.35791683
"Universiteit Antwerpen, Belgium",51.22277832,4.40999985
"Universidad Politécnica de Madrid, Spain",40.44919968,-3.72810006
"Instituto Tecnológico de Aeronáutica, Brazil",-23.2101326,-45.87678146
"Tampereen teknillinen yliopisto, Finland",61.44980621,23.85994911
"Tampereen yliopisto, Finland",63.10306931,21.59251022
"Technische Universität Carolo-Wilhelmina zu Braunschweig, Germany",52.27335739,10.53064251
"Jyväskylän yliopisto, Finland",63.10538127,21.59521945
"Universidad de Granada, Spain",37.18422699,-3.60056472
"Sardar Patel University, India",22.55500031,72.92500305
"Georgia State University, United States",33.75276566,-84.38607788
"Niigata University, Japan",37.86693954,138.94250488
"Sorbonne Université, France",48.84864044,2.34364295
"University of Hyderabad, India",17.45872116,78.32565308
"Université Laval, Canada",46.78181076,-71.27400208
"University of Tokyo, Japan",35.70811462,139.76745605
"University of Washington, United States",38.64799881,-90.30500031
"Osaka University, Japan",34.81727219,135.52645874
"Indian Institute of Management, Ahmedabad, India",23.0145092,72.59175873
"Technische Universität Dortmund, Germany",51.48391342,7.4129591
